GEOID20,district
12057000816,4
12085000028,5
12123000006,6
12069000026,7
12019060001,8
12083000037,9
12023000014,10
12031000290,11
12071000028,12
12057000528,13
12085000026,14
12127000181,15
12033000102,16
12071000035,17
12107000015,18
12107000014,19
12055000010,20
12069000088,21
12083000083,22
12111000028,23
12077000007,24
12099000753,25
12099000495,26
12009000102,0
12033000097,1
12031000105,2
12105000332,3
12057000813,4
12085000025,5
12065000011,6
12069000110,7
12019071000,8
12123000010,9
12125000002,10
12031000259,11
12021000023,12
12101000152,13
12085000055,14
12127000178,15
12033000235,16
12071000119,17
12019070801,18
12127000039,19
12105000526,20
12069000087,21
120170301.2,22
1209300P-09,23
12073002366,24
1209900NP27,25
12099000506,26
12009000229,0
12033000101,1
12031000087,2
12105000331,3
12057000817,4
12111000042,5
12079000004,6
12117000025,7
12001000064,8
12075000004,9
12047000001,10
12031000042,11
12021000021,12
12101000129,13
12085000063,14
12127000170,15
12033000231,16
12071000086,17
12127000008,18
12035000370,19
12105000534,20
12069000090,21
12083000095,22
1209300P-08,23
12013000402,24
12099000851,25
1201100B003,26
12009000404,0
12033000100,1
12031000279,2
12105000319,3
12057000811,4
12085000027,5
12073005263,6
12117000015,7
12001000005,8
12075000011,9
12125000005,10
12031000074,11
12071000029,12
12103000322,13
12085000100,14
12127000194,15
12033000199,16
12071000027,17
12107000005,18
12035810000,19
12105000516,20
12069000077,21
12083000104,22
1209300P-03,23
12039000024,24
12099000680,25
12099000505,26
12009000409,0
12033000010,1
12031000179,2
12105000329,3
12057000754,4
12061000035,5
12065000010,6
12117000008,7
12019012800,8
12075000020,9
12023000009,10
12031000068,11
12021000051,12
12101000123,13
12085000102,14
12127000191,15
12033000218,16
12071000104,17
12127000010,18
12035000332,19
12055000025,20
12069000045,21
12083000061,22
1209300P-06,23
12073002451,24
1209900NP28,25
1201100C002,26
12009000427,0
12033000194,1
12109000015,2
12105000334,3
12101000111,4
12061000036,5
12065000015,6
12069000103,7
12001000004,8
12029000009,9
12047000007,10
12031000070,11
12071000103,12
12057000579,13
12085000066,14
12117000064,15
12033000035,16
12071000118,17
12083000025,18
12035000371,19
12055000012,20
12069000080,21
12083000108,22
1209300P-05,23
12077000002,24
12099000653,25
1201100Q010,26
12009000422,0
12033000193,1
12109000059,2
12105000333,3
12105000203,4
12061000033,5
12073004173,6
12069000038,7
12031000198,8
12123000008,9
12125000008,10
12031000071,11
12071000105,12
12101000060,13
12085000042,14
12127000211,15
12033000219,16
12071000072,17
12107000028,18
12035000310,19
1205500004D,20
12127000052,21
12083000107,22
12085000045,23
12129ZZZZZZ,24
12099000176,25
1201100A005,26
12009000421,0
12033000188,1
12031000115,2
12105000321,3
